Code,Location,Year,"Avg. monthly wage, MX$","Total wages, MX$",Firms,Employment,Revealed comparative advantage,Distance,Opportunity gain
05,Coahuila,2009,,31284.73046875,5,173.41000366210938,0.15127940475940704,0.7496588230133057,2.7597224712371826
05,Coahuila,2010,,18055.4609375,5,75.7699966430664,0.06339339166879654,0.6694028377532959,2.568305730819702
05,Coahuila,2011,,539.1700439453125,3,5,0.004171059466898441,0.7995545864105225,2.699846029281616
05,Coahuila,2012,,680.0499877929688,3,5,0.004178247880190611,0.7286090850830078,2.5528435707092285
05,Coahuila,2013,,614.1099853515625,3,3.8299999237060547,0.003021828830242157,0.7995545864105225,2.7067298889160156
05,Coahuila,2014,,116.6500015258789,2,2.3499999046325684,0.0019412878900766373,0.8075895309448242,2.5965254306793213
06,Colima,2004,,0,0,0,0,1,0
06,Colima,2005,,0,0,0,0,1,0
06,Colima,2006,,0,0,0,0,1,0
06,Colima,2007,,0,0,0,0,1,0
06,Colima,2008,,0,0,0,0,1,0
06,Colima,2009,,212.8000030517578,1,2.7799999713897705,0.012629147619009018,1,2.0309529304504395
06,Colima,2010,,0,0,0,0,1,0
06,Colima,2011,,0,0,0,0,1,0
06,Colima,2012,,0,0,0,0,1,0
06,Colima,2013,,0,0,0,0,1,0
06,Colima,2014,,0,0,0,0,1,0
07,Chiapas,2004,,0,0,0,0,0.8408235311508179,0
07,Chiapas,2005,,0,0,0,0,0.8949965238571167,0
07,Chiapas,2006,,0,0,0,0,0.8994808197021484,0
07,Chiapas,2007,,0,0,0,0,0.9190855622291565,0
07,Chiapas,2008,,0,0,0,0,0.9490635395050049,0
07,Chiapas,2009,,0,0,0,0,0.9523055553436279,0
07,Chiapas,2010,,0,0,0,0,1,0
07,Chiapas,2011,,0,0,0,0,0.9675678014755249,0
07,Chiapas,2012,,0,0,0,0,1,0
07,Chiapas,2013,,0,0,0,0,1,0
07,Chiapas,2014,,0,0,0,0,1,0
08,Chihuahua,2004,,861.5900268554688,2,8.829999923706055,0.00429508276283741,0.7697036266326904,2.7176408767700195
08,Chihuahua,2005,,901.9400024414062,3,11.579999923706055,0.005908025894314051,0.7765897512435913,2.661768674850464
08,Chihuahua,2006,,1084.489990234375,3,14.25,0.007466989569365978,0.7861307263374329,2.6703529357910156
08,Chihuahua,2007,,1097.3199462890625,3,13.079999923706055,0.00736497575417161,0.7765897512435913,2.6789541244506836
08,Chihuahua,2008,,1093.3900146484375,3,12.329999923706055,0.007481155917048454,0.7780914306640625,2.8285727500915527
08,Chihuahua,2009,,869.6699829101562,3,12.5,0.00893790740519762,0.7582748532295227,2.756357192993164
08,Chihuahua,2010,,966.9100341796875,3,14.670000076293945,0.010284636169672012,0.7945300340652466,2.599811315536499
08,Chihuahua,2011,,823.8400268554688,3,13.40999984741211,0.009807334281504154,0.7582748532295227,2.566157341003418
08,Chihuahua,2012,,1155.8499755859375,3,12.670000076293945,0.00937589816749096,0.7504209280014038,2.644693374633789
08,Chihuahua,2013,,1165.6300048828125,3,12.170000076293945,0.008415214717388153,0.7504209280014038,2.75173020362854
08,Chihuahua,2014,,1339.800048828125,4,17.549999237060547,0.012716584838926792,0.7604254484176636,2.6849851608276367
09,Distrito Federal,2004,,479224.53125,68,2500.5,0.3560660481452942,0.5737742781639099,2.8864755630493164
09,Distrito Federal,2005,,502696.5,65,2553.679931640625,0.3838947117328644,0.6540766954421997,2.981281042098999
09,Distrito Federal,2006,,513636.5,62,2588.889892578125,0.4012663662433624,0.7010159492492676,3.0267579555511475
09,Distrito Federal,2007,,494377.1875,57,2298.8798828125,0.3750050663948059,0.6876778602600098,3.086223840713501
09,Distrito Federal,2008,,442067.40625,55,1966.6800537109375,0.3249671757221222,0.7321711778640747,3.3677098751068115
09,Distrito Federal,2009,,347221.9375,53,1614.739990234375,0.28691190481185913,0.7492181062698364,3.3697915077209473
09,Distrito Federal,2010,,402212.53125,47,1784.260009765625,0.31959280371665955,0.7753227353096008,3.45707631111145
09,Distrito Federal,2011,,382819.375,40,1604.4200439453125,0.29189807176589966,0.7492181062698364,3.3682620525360107
09,Distrito Federal,2012,,375906.0625,38,1465.800048828125,0.2713862657546997,0.7492181062698364,3.3839058876037598
09,Distrito Federal,2013,,398657.125,38,1531.1600341796875,0.26321685314178467,0.7492181062698364,3.4975597858428955
09,Distrito Federal,2014,,389087.5,38,1382.989990234375,0.25198888778686523,0.7370336055755615,3.3483800888061523
