Code,Industry,Parent,Year,"Avg. monthly wage, MX$","Total wages, MX$",Employment,Firms,Revealed comparative advantage,Complexity,Distance
1111,"Oilseed, legume and cereal growing",Agriculture,2014,,20062.599609375,96.91999816894531,14,0.06593319028615952,-0.014369405806064606,0.6523137092590332
1112,Vegetable growing,Agriculture,2014,,165911.859375,696.4299926757812,13,0.1036599799990654,-0.013964386656880379,0.76217120885849
1113,Fruit and tree nut growing,Agriculture,2014,,6489.81982421875,42.869998931884766,6,0.022429080680012703,-0.04121159389615059,0.7298806309700012
1114,"Greenhouse and nursery growing, and floriculture",Agriculture,2014,,201762.84375,1284.320068359375,69,1.4642788171768188,-0.012171318754553795,0.6392226815223694
1119,Other crop growing,Agriculture,2014,,28603.060546875,245.52999877929688,27,0.03797987848520279,-0.02681620791554451,0.6863583922386169
1121,Cattle raising,Agriculture,2014,,71129.5625,403.5299987792969,42,0.12929095327854156,-0.019261673092842102,0.639041543006897
1122,Pig raising,Agriculture,2014,,51662.55078125,314.7799987792969,22,0.4190153181552887,-0.006157207768410444,0.4183129668235779
1123,Poultry raising,Agriculture,2014,,205095.109375,937,25,0.518828809261322,-0.0038827662356197834,0.4125114679336548
1124,Sheep and goat raising,Agriculture,2014,,63.77000045776367,1,1,0.018504727631807327,-0.002486646641045809,0.649642288684845
1125,Aquaculture,Agriculture,2014,,0,0,0,0,-0.0350060798227787,0.6540114283561707
1129,Other animal production,Agriculture,2014,,27994.19921875,184.9199981689453,20,0.7111771702766418,-0.016948916018009186,0.5147916078567505
1131,Silviculture,Agriculture,2014,,6755.76025390625,30.780000686645508,5,0.11629476398229599,-0.007685747463256121,0.5887683629989624
1132,Forest nurseries and gathering of forest products,Agriculture,2014,,13871.75,75.52000427246094,5,0.7325327396392822,-0.013564961031079292,0.5863478183746338
1133,Logging,Agriculture,2014,,1633.02001953125,20.299999237060547,1,0.11536633968353271,-0.015032601542770863,0.561776876449585
1141,Fishing,Agriculture,2014,,1749.8199462890625,10.960000038146973,1,0.009028518572449684,-0.03555674105882645,0.7568761706352234
1142,Hunting and trapping,Agriculture,2014,,0,0,0,0,0.018416674807667732,0.633528470993042
1151,Services related to agriculture,Agriculture,2014,,99873.2109375,509.75,33,0.18338654935359955,-0.023229168727993965,0.7847813367843628
1152,Services related to animal breeding and production,Agriculture,2014,,338022.90625,841.5899658203125,15,3.1530611515045166,-0.007587375584989786,0.3268948793411255
1153,Services related to forestry,Agriculture,2014,,2198.469970703125,23.549999237060547,9,0.12998464703559875,-0.006031339056789875,0.7574608325958252
2111,Oil and gas extraction,Mining & Oil,2014,,14653.259765625,128.4300079345703,4,0.511090874671936,-0.007570493035018444,0.5667327642440796
2121,Coal mining,Mining & Oil,2014,,0,0,0,0,0.042593907564878464,0.8467491865158081
2122,Metallic ore mining,Mining & Oil,2014,,4563.7900390625,8.380000114440918,5,0.006168432533740997,-0.025143401697278023,1
2123,Nonmetallic ore mining,Mining & Oil,2014,,189009.109375,837.4099731445312,63,0.5158963799476624,-0.01121826283633709,0.593116044998169
2131,Services related to mining,Mining & Oil,2014,,350842.78125,776.9500122070312,13,0.2804469168186188,0.0025421108584851027,0.6282244920730591
2211,"Electric power generation, transmission and distribution","Utilities, Transport & Communications",2014,,2601235.25,3494.97998046875,77,0.4610236585140228,-0.020726457238197327,0.6429551839828491
2221,"Water collection, treatment and supply","Utilities, Transport & Communications",2014,,90438.96875,665.4400024414062,54,0.18875254690647125,-0.005485255271196365,0.6946972608566284
2222,Gas supply through mains to final consumers,"Utilities, Transport & Communications",2014,,22450.439453125,138.27999877929688,10,3.1724319458007812,0.049421776086091995,0.5445788502693176
2361,Residential building construction,Manufacturing & Construction,2014,,1649218.375,7635.47998046875,386,0.9323574304580688,0.009688032791018486,0.5324834585189819
2362,Nonresidential building construction,Manufacturing & Construction,2014,,4014709.5,20564.740234375,1720,0.6752259731292725,-0.017836887389421463,0.5999254584312439
2371,"Construction works for water, oil, gas, electric power and telecommunications supply",Manufacturing & Construction,2014,,894789.3125,3500.239990234375,262,0.8984076380729675,-0.024858543649315834,0.5707004070281982
2372,Land division and urbanization works,Manufacturing & Construction,2014,,297648.78125,1985.780029296875,264,0.6577551364898682,-0.019860727712512016,0.6111528873443604
2373,"Construction of roads, highways and similar works",Manufacturing & Construction,2014,,402967.71875,1996.989990234375,166,0.7528910636901855,-0.021070631220936775,0.6471430063247681
2379,Other civil engineering construction,Manufacturing & Construction,2014,,2008248.875,13327.2099609375,1212,0.8596288561820984,-0.02290867269039154,0.5756918787956238
2381,"Foundations, prefabricated structures assembly and exterior construction works",Manufacturing & Construction,2014,,778514.625,4716.5,403,1.254482626914978,-0.007634086534380913,0.5574355125427246
2382,Building installations and equipment,Manufacturing & Construction,2014,,2161190.5,11734.5400390625,1183,1.5341219902038574,0.025813713669776917,0.5214653611183167
2383,Building finishing works,Manufacturing & Construction,2014,,341568.4375,2821.909912109375,419,1.399800419807434,0.02106594853103161,0.5600858926773071
2389,Other specialized construction works,Manufacturing & Construction,2014,,1240711.5,8078.64990234375,786,0.8548405170440674,-0.009124819189310074,0.5187779664993286
3111,Animal food manufacturing,Manufacturing & Construction,2014,,632114.875,1307.5399169921875,36,1.5152795314788818,-0.0022359583526849747,0.4809421896934509
3112,"Grain and seed milling, and fats and oils manufacturing",Manufacturing & Construction,2014,,509761.5625,1376.77001953125,26,0.7925045490264893,-0.005625630263239145,0.47851133346557617
