Code,Export,Parent,Year,"Exports, US$","Imports, US$",Revealed comparative advantage,Complexity,Distance,Opportunity gain
9205,"Musical instruments, wind",Machinery,2014,0,18024,0,3.1889309883117676,0.8972059190273285,1.0521817207336426
9206,"Musical instruments, percussion",Machinery,2014,0,1106,0,-0.7923630475997925,0.9053010642528534,0.5910869836807251
9207,"Musical instruments, electric",Machinery,2014,0,37883,0,3.0793490409851074,0.9022442772984505,0.9328070282936096
9208,"Musicboxes, fairground organs, etc.",Machinery,2014,0,7222,0,-0.6201311349868774,0.9031502306461334,0.4302091598510742
9209,Parts of musical instruments,Machinery,2014,0,19660,0,3.041644334793091,0.892681822180748,1.5442779064178467
9301,"Military weapons, other than pistols",Machinery,2014,0,0,0,1.8874403238296509,0.9068676382303238,0.8175735473632812
9302,Revolvers and pistols,Machinery,2014,0,0,0,2.0957143306732178,0.9005276262760162,1.0213255882263184
9303,Other firearms,Machinery,2014,0,0,0,1.5127283334732056,0.8993061482906342,1.3190739154815674
9304,"Other arms (air guns, truncheons, etc.)",Machinery,2014,0,71661,0,1.9784420728683472,0.8949647918343544,1.0364797115325928
9305,Parts of military weapons,Machinery,2014,771670.0625,572727,0.19321969151496887,2.173987627029419,0.8999659419059753,1.3154456615447998
9306,Munitions of war,Machinery,2014,0,181270,0,1.5785423517227173,0.9010288640856743,1.3279170989990234
9307,"Swords, cutlasses, etc.",Machinery,2014,0,0,0,-0.49248117208480835,0.9074373468756676,0.8232201933860779
9401,Seats,Textiles and furniture,2014,1135652224,167581248,5.937943935394287,0.8394358158111572,0.873478427529335,0
9402,"Medical, dental or veterinary furniture",Textiles and furniture,2014,0,210068,0,2.2637779712677,0.8837378844618797,1.3368942737579346
9403,Other furniture and parts,Textiles and furniture,2014,114747232,16318575,0.5601403117179871,1.2099915742874146,0.8870130851864815,0.7634034156799316
9404,Mattresses and bedding,Textiles and furniture,2014,43339596,19762598,1.1763347387313843,-0.7231795787811279,0.8942821398377419,0
9405,Lamps,Textiles and furniture,2014,190529712,66003912,1.564620018005371,2.718622922897339,0.8764281645417213,0
9406,Prefabricated buildings,Textiles and furniture,2014,20612508,3517109,0.99204421043396,1.5116913318634033,0.8928855136036873,0.7635103464126587
9501,"Rideable wheeled toys, dolls carriages",Machinery,2014,0,0,0,0.5410290956497192,0.9058629795908928,0.23427757620811462
9502,Dolls,Machinery,2014,0,0,0,-1.6228898763656616,0.8916848748922348,0.2350771725177765
9503,Toys,Machinery,2014,115518.3828125,3795719,0.0010069821728393435,0.5966529846191406,0.8793829455971718,0.3868483603000641
9504,"Articles for arcade, table or parlor games",Machinery,2014,31426428,3774030,0.44745731353759766,2.7407689094543457,0.8907350227236748,1.0488728284835815
9505,"Festive, carnival or other entertainment articles",Machinery,2014,10242571,875115,0.5856853127479553,-1.071494698524475,0.9075325354933739,0.10339449346065521
9506,Sports equipment,Machinery,2014,6497512.5,23807014,0.10540925711393356,0.4693778157234192,0.8957333490252495,0.6857967972755432
9507,Fishing and hunting equipment,Machinery,2014,4099.45654296875,20764,0.0005334884044714272,-0.33480286598205566,0.8822247460484505,0.2457481026649475
