"hs4","color","product_id"
"2715","#36001b",266
"2716","#36001b",267
"2801","#e98aff",268
"2802","#e98aff",269
"2803","#e98aff",270
"2804","#e98aff",271
"2805","#e98aff",272
"2806","#e98aff",273
"2807","#e98aff",274
"2808","#e98aff",275
"2809","#e98aff",276
"2810","#e98aff",277
"2811","#e98aff",278
"2812","#e98aff",279
"2813","#e98aff",280
"2814","#e98aff",281
"2815","#e98aff",282
"2816","#e98aff",283
"2817","#e98aff",284
"2818","#e98aff",285
"2819","#e98aff",286
"2820","#e98aff",287
"2821","#e98aff",288
"2822","#e98aff",289
"2823","#e98aff",290
"2824","#e98aff",291
"2825","#e98aff",292
"2826","#e98aff",293
"2827","#e98aff",294
"2828","#e98aff",295
"2829","#e98aff",296
"2830","#e98aff",297
"2831","#e98aff",298
"2832","#e98aff",299
"2833","#e98aff",300
"2834","#e98aff",301
"2835","#e98aff",302
"2836","#e98aff",303
"2837","#e98aff",304
"2838","#e98aff",305
"2839","#e98aff",306
"2840","#e98aff",307
"2841","#e98aff",308
"2842","#e98aff",309
"2843","#e98aff",310
"2844","#e98aff",311
"2845","#e98aff",312
"2846","#e98aff",313
"2847","#e98aff",314
"2848","#e98aff",315
"2849","#e98aff",316
"2850","#e98aff",317
"2851","#e98aff",318
"2901","#e98aff",319
"2902","#e98aff",320
"2903","#e98aff",321
"2904","#e98aff",322
"2905","#e98aff",323
"2906","#e98aff",324
"2907","#e98aff",325
"2908","#e98aff",326
"2909","#e98aff",327
"2910","#e98aff",328
"2911","#e98aff",329
"2912","#e98aff",330
"2913","#e98aff",331
"2914","#e98aff",332
"2915","#e98aff",333
"2916","#e98aff",334
"2917","#e98aff",335
"2918","#e98aff",336
"2919","#e98aff",337
"2920","#e98aff",338
"2921","#e98aff",339
"2922","#e98aff",340
"2923","#e98aff",341
"2924","#e98aff",342
"2925","#e98aff",343
"2926","#e98aff",344
"2927","#e98aff",345
"2928","#e98aff",346
"2929","#e98aff",347
"2930","#e98aff",348
"2931","#e98aff",349
"2932","#e98aff",350
"2933","#e98aff",351
"2934","#e98aff",352
"2935","#e98aff",353
"2936","#e98aff",354
"2937","#e98aff",355
"2938","#e98aff",356
"2939","#e98aff",357
"2940","#e98aff",358
"2941","#e98aff",359
"2942","#e98aff",360
"3001","#e98aff",361
"3002","#e98aff",362
"3003","#e98aff",363
"3004","#e98aff",364
"3005","#e98aff",365
"3006","#e98aff",366
"3101","#e98aff",367
"3102","#e98aff",368
"3103","#e98aff",369
"3104","#e98aff",370
"3105","#e98aff",371
"3201","#e98aff",372
"3202","#e98aff",373
"3203","#e98aff",374
"3204","#e98aff",375
"3205","#e98aff",376
"3206","#e98aff",377
"3207","#e98aff",378
"3208","#e98aff",379
"3209","#e98aff",380
"3210","#e98aff",381
"3211","#e98aff",382
"3212","#e98aff",383
"3213","#e98aff",384
"3214","#e98aff",385
"3215","#e98aff",386
"3301","#e98aff",387
"3302","#e98aff",388
"3303","#e98aff",389
"3304","#e98aff",390
"3305","#e98aff",391
"3306","#e98aff",392
"3307","#e98aff",393
"3401","#e98aff",394
"3402","#e98aff",395
"3403","#e98aff",396
"3404","#e98aff",397
"3405","#e98aff",398
"3406","#e98aff",399
"3407","#e98aff",400
"3501","#e98aff",401
"3502","#e98aff",402
"3503","#e98aff",403
"3504","#e98aff",404
"3505","#e98aff",405
"3506","#e98aff",406
"3507","#e98aff",407
"3601","#e98aff",408
"3602","#e98aff",409
"3603","#e98aff",410
"3604","#e98aff",411
"3605","#e98aff",412
"3606","#e98aff",413
"3701","#e98aff",414
"3702","#e98aff",415
"3703","#e98aff",416
"3704","#e98aff",417
"3705","#e98aff",418
"3706","#e98aff",419
"3707","#e98aff",420
"3801","#e98aff",421
"3802","#e98aff",422
"3803","#e98aff",423
"3804","#e98aff",424
"3805","#e98aff",425
"3806","#e98aff",426
"3807","#e98aff",427
"3808","#e98aff",428
"3809","#e98aff",429
"3810","#e98aff",430
"3811","#e98aff",431
"3812","#e98aff",432
"3813","#e98aff",433
"3814","#e98aff",434
"3815","#e98aff",435
"3816","#e98aff",436
"3817","#e98aff",437
"3818","#e98aff",438
"3819","#e98aff",439
"3820","#e98aff",440
"3821","#e98aff",441
"3822","#e98aff",442
"3823","#e98aff",443
"3901","#fec6d3",444
"3902","#fec6d3",445
"3903","#fec6d3",446
"3904","#fec6d3",447
"3905","#fec6d3",448
"3906","#fec6d3",449
"3907","#fec6d3",450
"3908","#fec6d3",451
"3909","#fec6d3",452
"3910","#fec6d3",453
"3911","#fec6d3",454
"3912","#fec6d3",455
"3913","#fec6d3",456
"3914","#fec6d3",457
"3915","#fec6d3",458
"3916","#fec6d3",459
"3917","#fec6d3",460
"3918","#fec6d3",461
"3919","#fec6d3",462
"3920","#fec6d3",463
"3921","#fec6d3",464
"3922","#fec6d3",465
"3923","#fec6d3",466
"3924","#fec6d3",467
"3925","#fec6d3",468
"3926","#fec6d3",469
"4001","#fec6d3",470
"4002","#fec6d3",471
"4003","#fec6d3",472
"4004","#fec6d3",473
"4005","#fec6d3",474
"4006","#fec6d3",475
"4007","#fec6d3",476
"4008","#fec6d3",477
"4009","#fec6d3",478
"4010","#fec6d3",479
"4011","#fec6d3",480
"4012","#fec6d3",481
"4013","#fec6d3",482
"4014","#fec6d3",483
"4015","#fec6d3",484
"4016","#fec6d3",485
"4017","#fec6d3",486
"4101","#a0ff99",487
"4102","#a0ff99",488
"4103","#a0ff99",489
"4104","#a0ff99",490
"4105","#a0ff99",491
"4106","#a0ff99",492
"4107","#a0ff99",493
"4108","#a0ff99",494
"4109","#a0ff99",495
"4110","#a0ff99",496
"4111","#a0ff99",497
"4201","#a0ff99",498
"4202","#a0ff99",499
"4203","#a0ff99",500
"4204","#a0ff99",501
"4205","#a0ff99",502
"4206","#a0ff99",503
"4301","#a0ff99",504
"4302","#a0ff99",505
"4303","#a0ff99",506
"4304","#a0ff99",507
"4401","#ff0000",508
"4402","#ff0000",509
"4403","#ff0000",510
"4404","#ff0000",511
"4405","#ff0000",512
"4406","#ff0000",513
"4407","#ff0000",514
"4408","#ff0000",515
"4409","#ff0000",516
"4410","#ff0000",517
"4411","#ff0000",518
"4412","#ff0000",519
"4413","#ff0000",520
"4414","#ff0000",521
"4415","#ff0000",522
"4416","#ff0000",523
"4417","#ff0000",524
"4418","#ff0000",525
"4419","#ff0000",526
"4420","#ff0000",527
"4421","#ff0000",528
"4501","#ff0000",529
"4502","#ff0000",530
"4503","#ff0000",531
"4504","#ff0000",532
"4601","#ff0000",533
"4602","#ff0000",534
"4701","#ff0000",535
"4702","#ff0000",536
"4703","#ff0000",537
"4704","#ff0000",538
"4705","#ff0000",539
"4706","#ff0000",540
"4707","#ff0000",541
"4801","#ff0000",542
"4802","#ff0000",543
"4803","#ff0000",544
"4804","#ff0000",545
"4805","#ff0000",546
"4806","#ff0000",547
"4807","#ff0000",548
"4808","#ff0000",549
"4809","#ff0000",550
"4810","#ff0000",551
"4811","#ff0000",552
"4812","#ff0000",553
"4813","#ff0000",554
"4814","#ff0000",555
"4815","#ff0000",556
"4816","#ff0000",557
"4817","#ff0000",558
"4818","#ff0000",559
"4819","#ff0000",560
"4820","#ff0000",561
"4821","#ff0000",562
"4822","#ff0000",563
"4823","#ff0000",564
"4901","#ff0000",565
"4902","#ff0000",566
"4903","#ff0000",567
"4904","#ff0000",568
"4905","#ff0000",569
"4906","#ff0000",570
"4907","#ff0000",571
"4908","#ff0000",572
"4909","#ff0000",573
"4910","#ff0000",574
"4911","#ff0000",575
"5001","#00b050",576
"5002","#00b050",577
"5003","#00b050",578
"5004","#00b050",579
"5005","#00b050",580
"5006","#00b050",581
"5007","#00b050",582
"5101","#00b050",583
"5102","#00b050",584
"5103","#00b050",585
"5104","#00b050",586
"5105","#00b050",587
"5106","#00b050",588
"5107","#00b050",589
"5108","#00b050",590
"5109","#00b050",591
"5110","#00b050",592
"5111","#00b050",593
"5112","#00b050",594
"5113","#00b050",595
"5201","#00b050",596
"5202","#00b050",597
"5203","#00b050",598
"5204","#00b050",599
"5205","#00b050",600
"5206","#00b050",601
"5207","#00b050",602
"5208","#00b050",603
"5209","#00b050",604
"5210","#00b050",605
"5211","#00b050",606
"5212","#00b050",607
"5301","#00b050",608
"5302","#00b050",609
"5303","#00b050",610
"5304","#00b050",611
"5305","#00b050",612
"5306","#00b050",613
"5307","#00b050",614
"5308","#00b050",615
"5309","#00b050",616
"5310","#00b050",617
"5311","#00b050",618
"5401","#00b050",619
"5402","#00b050",620
"5403","#00b050",621
"5404","#00b050",622
"5405","#00b050",623
"5406","#00b050",624
"5407","#00b050",625
"5408","#00b050",626
"5501","#00b050",627
"5502","#00b050",628
"5503","#00b050",629
"5504","#00b050",630
"5505","#00b050",631
"5506","#00b050",632
"5507","#00b050",633
"5508","#00b050",634
"5509","#00b050",635
"5510","#00b050",636
"5511","#00b050",637
"5512","#00b050",638
"5513","#00b050",639
"5514","#00b050",640
"5515","#00b050",641
"5516","#00b050",642
"5601","#00b050",643
"5602","#00b050",644
"5603","#00b050",645
"5604","#00b050",646
"5605","#00b050",647
"5606","#00b050",648
"5607","#00b050",649
"5608","#00b050",650
"5609","#00b050",651
"5701","#00b050",652
"5702","#00b050",653
"5703","#00b050",654
"5704","#00b050",655
"5705","#00b050",656
"5801","#00b050",657
"5802","#00b050",658
"5803","#00b050",659
"5804","#00b050",660
"5805","#00b050",661
"5806","#00b050",662
"5807","#00b050",663
"5808","#00b050",664
"5809","#00b050",665
"5810","#00b050",666
"5811","#00b050",667
"5901","#00b050",668
"5902","#00b050",669
"5903","#00b050",670
"5904","#00b050",671
"5905","#00b050",672
"5906","#00b050",673
"5907","#00b050",674
"5908","#00b050",675
"5909","#00b050",676
"5910","#00b050",677
"5911","#00b050",678
"6001","#00b050",679
"6002","#00b050",680
"6101","#00b050",681
"6102","#00b050",682
"6103","#00b050",683
"6104","#00b050",684
"6105","#00b050",685
"6106","#00b050",686
"6107","#00b050",687
"6108","#00b050",688
"6109","#00b050",689
"6110","#00b050",690
"6111","#00b050",691
"6112","#00b050",692
"6113","#00b050",693
"6114","#00b050",694
"6115","#00b050",695
"6116","#00b050",696
"6117","#00b050",697
"6201","#00b050",698
"6202","#00b050",699
"6203","#00b050",700
"6204","#00b050",701
"6205","#00b050",702
"6206","#00b050",703
"6207","#00b050",704
"6208","#00b050",705
"6209","#00b050",706
"6210","#00b050",707
"6211","#00b050",708
"6212","#00b050",709
"6213","#00b050",710
"6214","#00b050",711
"6215","#00b050",712
"6216","#00b050",713
"6217","#00b050",714
"6301","#00b050",715
"6302","#00b050",716
"6303","#00b050",717
"6304","#00b050",718
"6305","#00b050",719
"6306","#00b050",720
"6307","#00b050",721
"6308","#00b050",722
"6309","#00b050",723
"6310","#00b050",724
"6401","#67cb35",725
"6402","#67cb35",726
"6403","#67cb35",727
"6404","#67cb35",728
"6405","#67cb35",729
"6406","#67cb35",730
"6501","#67cb35",731
"6502","#67cb35",732
"6503","#67cb35",733
"6504","#67cb35",734
"6505","#67cb35",735
"6506","#67cb35",736
"6507","#67cb35",737
"6601","#67cb35",738
"6602","#67cb35",739
"6603","#67cb35",740
"6701","#67cb35",741
"6702","#67cb35",742
"6703","#67cb35",743
"6704","#67cb35",744
"6801","#f56a01",745
"6802","#f56a01",746
"6803","#f56a01",747
"6804","#f56a01",748
"6805","#f56a01",749
"6806","#f56a01",750
"6807","#f56a01",751
"6808","#f56a01",752
"6809","#f56a01",753
"6810","#f56a01",754
"6811","#f56a01",755
"6812","#f56a01",756
"6813","#f56a01",757
"6814","#f56a01",758
"6815","#f56a01",759
"6901","#f56a01",760
"6902","#f56a01",761
"6903","#f56a01",762
"6904","#f56a01",763
"6905","#f56a01",764
"6906","#f56a01",765
"6907","#f56a01",766
"6908","#f56a01",767
"6909","#f56a01",768
"6910","#f56a01",769
"6911","#f56a01",770
"6912","#f56a01",771
"6913","#f56a01",772
"6914","#f56a01",773
"7001","#f56a01",774
"7002","#f56a01",775
"7003","#f56a01",776
"7004","#f56a01",777
"7005","#f56a01",778
"7006","#f56a01",779
"7007","#f56a01",780
"7008","#f56a01",781
"7009","#f56a01",782
"7010","#f56a01",783
"7011","#f56a01",784
"7012","#f56a01",785
"7013","#f56a01",786
"7014","#f56a01",787
"7015","#f56a01",788
"7016","#f56a01",789
"7017","#f56a01",790
"7018","#f56a01",791
"7019","#f56a01",792
"7020","#f56a01",793
"7101","#f56a01",794
"7102","#f56a01",795
"7103","#f56a01",796
"7104","#f56a01",797
"7105","#f56a01",798
"7106","#f56a01",799
"7107","#f56a01",800
"7108","#f56a01",801
"7109","#f56a01",802
"7110","#f56a01",803
"7111","#f56a01",804
"7112","#f56a01",805
"7113","#f56a01",806
"7114","#f56a01",807
"7115","#f56a01",808
"7116","#f56a01",809
"7117","#f56a01",810
"7118","#f56a01",811
"7201","#702500",812
"7202","#702500",813
"7203","#702500",814
"7204","#702500",815
"7205","#702500",816
"7206","#702500",817
"7207","#702500",818
"7208","#702500",819
"7209","#702500",820
"7210","#702500",821
"7211","#702500",822
"7212","#702500",823
"7213","#702500",824
"7214","#702500",825
"7215","#702500",826
"7216","#702500",827
"7217","#702500",828
"7218","#702500",829
"7219","#702500",830
"7220","#702500",831
"7221","#702500",832
"7222","#702500",833
"7223","#702500",834
"7224","#702500",835
"7225","#702500",836
"7226","#702500",837
"7227","#702500",838
"7228","#702500",839
"7229","#702500",840
"7301","#702500",841
"7302","#702500",842
"7303","#702500",843
"7304","#702500",844
"7305","#702500",845
"7306","#702500",846
"7307","#702500",847
"7308","#702500",848
"7309","#702500",849
"7310","#702500",850
"7311","#702500",851
"7312","#702500",852
"7313","#702500",853
"7314","#702500",854
"7315","#702500",855
"7316","#702500",856
"7317","#702500",857
"7318","#702500",858
"7319","#702500",859
"7320","#702500",860
"7321","#702500",861
"7322","#702500",862
