Code,Export,Parent,Year,"Exports, US$","Imports, US$",Revealed comparative advantage,Complexity,Distance,Opportunity gain
0101,Horses,"Vegetables, foodstuffs and wood",2014,25170.060546875,1691288,0.007654884364455938,1.8590061664581299,0.8444780558347702,0.8092750310897827
0102,Bovine,"Vegetables, foodstuffs and wood",2014,0,0,0,0.4312129318714142,0.8438196182250977,0.4074364900588989
0103,Swine,"Vegetables, foodstuffs and wood",2014,0,0,0,2.0347800254821777,0.8489770740270615,0.8278886675834656
0104,Sheep,"Vegetables, foodstuffs and wood",2014,354930,1940058.125,0.18530334532260895,-1.0606651306152344,0.8556718081235886,0.15570296347141266
0105,Fowl,"Vegetables, foodstuffs and wood",2014,0,629675.5,0,0.6927651762962341,0.8429440855979919,0.7257955074310303
0106,Other live animals,"Vegetables, foodstuffs and wood",2014,1610.5533447265625,695464.4375,0.0008866999414749444,-1.4803493022918701,0.8503050953149796,0.11510384827852249
0201,Beef,"Vegetables, foodstuffs and wood",2014,0,50750720,0,0.43365204334259033,0.8464930355548859,0.7148354649543762
0202,Beef (frozen),"Vegetables, foodstuffs and wood",2014,1832129.5,2780203.25,0.05659019574522972,-0.9468263387680054,0.8542732447385788,0.17259599268436432
0203,Pork,"Vegetables, foodstuffs and wood",2014,0,57759352,0,2.064739942550659,0.841178223490715,1.258583664894104
0204,Lamb,"Vegetables, foodstuffs and wood",2014,0,4342700,0,-1.2936958074569702,0.8647551387548447,0.116893470287323
0205,Horse meat,"Vegetables, foodstuffs and wood",2014,0,0,0,0.38789260387420654,0.8447142243385315,0.6159473061561584
0206,Edible offal,"Vegetables, foodstuffs and wood",2014,0,27004766,0,0.2680613696575165,0.8493515849113464,0.5643712878227234
0207,Poultry,"Vegetables, foodstuffs and wood",2014,6119869.5,31710472,0.1590583771467209,1.2517216205596924,0.8433984220027924,0.7797194719314575
0208,Other meat,"Vegetables, foodstuffs and wood",2014,0,0,0,1.1302053928375244,0.8465660065412521,0.7281347513198853
0209,Pig and poultry fat,"Vegetables, foodstuffs and wood",2014,0,4694989,0,1.8012100458145142,0.8464994877576828,1.2871681451797485
0210,Preserved meat,"Vegetables, foodstuffs and wood",2014,39036.453125,11772417,0.005771854426711798,1.0956699848175049,0.8485793471336365,0.8616788387298584
0301,Live Fish,"Vegetables, foodstuffs and wood",2014,19255.978515625,695578.25,0.008305972442030907,-1.2419710159301758,0.8572981953620911,0.16102485358715057
0302,"Fish, excluding fillets","Vegetables, foodstuffs and wood",2014,0,0,0,-1.5691477060317993,0.8534479141235352,0.025123458355665207
0303,"Frozen fish, excluding fillets","Vegetables, foodstuffs and wood",2014,0,272710,0,-1.9874491691589355,0.8638920933008194,-0.08263622224330902
0304,Fish fillets,"Vegetables, foodstuffs and wood",2014,0,11737325,0,-1.4473539590835571,0.8621873110532761,0.005683629307895899
0305,Preserved fish,"Vegetables, foodstuffs and wood",2014,0,1265134.25,0,-2.1262619495391846,0.8593118041753769,-0.057278916239738464
0306,Crustaceans,"Vegetables, foodstuffs and wood",2014,1302.369140625,70560,0.00003558066600817256,-2.670370578765869,0.8689929842948914,-0.29039281606674194
0307,Molluscs,"Vegetables, foodstuffs and wood",2014,0,519163.40625,0,-2.1751368045806885,0.8595960438251495,-0.12169981747865677
0401,Milk,"Vegetables, foodstuffs and wood",2014,3645738,0,0.282291442155838,0.8340924382209778,0.8405184000730515,0.7080224752426147
0402,"Milk, concentrated","Vegetables, foodstuffs and wood",2014,18770040,162251488,0.4892883002758026,0.11900278925895691,0.8586981147527695,0.2800525426864624
0403,Fermented milk products,"Vegetables, foodstuffs and wood",2014,1513935.75,7961726.5,0.22631816565990448,1.0984402894973755,0.8409408032894135,0.6126242280006409
0404,Whey,"Vegetables, foodstuffs and wood",2014,4186417.75,20623462,0.48845264315605164,2.28061842918396,0.8455819487571716,1.0694838762283325
0405,Butter,"Vegetables, foodstuffs and wood",2014,253014.890625,11348791,0.02107864059507847,0.9526087045669556,0.8523401170969009,0.7861244678497314
0406,Cheese,"Vegetables, foodstuffs and wood",2014,351191.8125,60356000,0.00788938719779253,0.9226436018943787,0.8500312119722366,0.6278237104415894
0407,"Eggs, in shell","Vegetables, foodstuffs and wood",2014,0,355064.46875,0,0.5160780549049377,0.8434867262840271,0.5842729806900024
0408,Egg yolks,"Vegetables, foodstuffs and wood",2014,0,3016442.25,0,1.4877290725708008,0.8454781174659729,1.1560025215148926
0409,Honey,"Vegetables, foodstuffs and wood",2014,12833175,0,4.085699558258057,-1.115175724029541,0.8576875925064087,0
0410,"Edible animal products, n.e.c.","Vegetables, foodstuffs and wood",2014,0,0,0,-1.5637003183364868,0.8735130131244659,0.054746825248003006
0501,"Human hair, unworked","Vegetables, foodstuffs and wood",2014,0,0,0,-3.3042612075805664,0.8812275379896164,-0.03302578628063202
0502,Brushmaking hair,"Vegetables, foodstuffs and wood",2014,0,742515.25,0,0.39128097891807556,0.8952709659934044,0.09878082573413849
0503,Horsehair,"Vegetables, foodstuffs and wood",2014,0,0,0,-0.7387847900390625,0.8684957772493362,0.20915021002292633
0504,"Animal guts, except fish","Vegetables, foodstuffs and wood",2014,0,2728773.75,0,-1.2446404695510864,0.8500067889690399,0.314228355884552
0505,Feathers and down,"Vegetables, foodstuffs and wood",2014,0,644981.625,0,1.9286607503890991,0.8615148961544037,0.7895753979682922
0506,"Bones, simply prepared","Vegetables, foodstuffs and wood",2014,0,0,0,0.540669858455658,0.8539688438177109,0.39086058735847473
0507,"Ivory, tortoise-shell, whalebone, etc.","Vegetables, foodstuffs and wood",2014,0,0,0,-2.4841995239257812,0.8699025809764862,-0.14565086364746094
0508,Coral and shells,"Vegetables, foodstuffs and wood",2014,0,0,0,-1.9513490200042725,0.8618953675031662,-0.027668967843055725
0509,Sponges of animal origin,"Vegetables, foodstuffs and wood",2014,0,0,0,-0.6975434422492981,0.888239860534668,0.10829827189445496
0510,Glands and other animal products used in pharmaceuticals,"Vegetables, foodstuffs and wood",2014,41195.96484375,0,0.1249692514538765,-1.2447409629821777,0.8569376617670059,0.15983626246452332
0511,Animal products not elsewhere specified,"Vegetables, foodstuffs and wood",2014,0,7276646,0,0.5124576091766357,0.8371278941631317,0.4558856785297394
0601,Flower bulbs,"Vegetables, foodstuffs and wood",2014,7129.26025390625,29159742,0.0030665129888802767,0.02360646240413189,0.8778383433818817,0.3700408637523651
0602,Other live plants,"Vegetables, foodstuffs and wood",2014,1167267,1327999,0.10940083861351013,-1.0503243207931519,0.8461007475852966,0.40939128398895264
0603,Cut flowers,"Vegetables, foodstuffs and wood",2014,13735895,12420.5498046875,1.204748272895813,-1.8844910860061646,0.8654289245605469,0
0604,Other parts of plants,"Vegetables, foodstuffs and wood",2014,19355496,60825.71875,12.001426696777344,-0.6904630661010742,0.8465805947780609,0
0701,Potatoes,"Vegetables, foodstuffs and wood",2014,58409.03125,0,0.009876091964542866,-0.9513015151023865,0.8461606800556183,0.27388930320739746
0702,Tomatoes,"Vegetables, foodstuffs and wood",2014,35239716,0,2.79274845123291,-1.1731085777282715,0.8467254042625427,0
0703,"Onions, shallots, garlic, etc.","Vegetables, foodstuffs and wood",2014,1914317.75,118891.15625,0.24772164225578308,-2.3194022178649902,0.855188176035881,-0.12974728643894196
0704,"Cabbages, cauliflower, kale, etc.","Vegetables, foodstuffs and wood",2014,968596.6875,0,0.2494671493768692,-0.6134675741195679,0.8448064625263214,0.38004058599472046
